"tx_acc1","tx_form","tx_courses","heurstag","tx_tpf","secteur_ensemble","secteur","taille","NAME_FREN","iso3_code"
11.9,31.5,31.5,59,1.3,0,"Commerce et réparation d'automobiles","4 à 9","Autriche","AUT"
11.3,38.4,35.8,199,8.2,0,"Commerce de gros","4 à 9","Autriche","AUT"
15.1,26.8,24.9,195,4.2,0,"Commerce de détail","4 à 9","Autriche","AUT"
18.3,48.8,45.7,23,1.2,0,"Transports","4 à 9","Autriche","AUT"
9.9,26.9,19.6,63,1.8,0,"Hébergement, Restauration","4 à 9","Autriche","AUT"
15.3,48,34.8,112,1.7,0,"Edition, Production de films cinématographiques","4 à 9","Autriche","AUT"
21,23.9,23.9,14,1.1,0,"Activités des services financiers","4 à 9","Autriche","AUT"
46.3,65.2,65.2,36,3.3,0,"Activités auxiliaires de services financiers et d'assurance","4 à 9","Autriche","AUT"
20.3,56.3,52,130,5.8,0,"Activités des organisations associatives","4 à 9","Autriche","AUT"
30.3,21.8,16.1,11,1.4,0,"Activités immobilières","4 à 9","Autriche","AUT"
32.6,50.8,48.7,51,1.9,0,"Activités juridiques et comptables","4 à 9","Autriche","AUT"
79.8,40.5,39.7,12,1.7,0,"Activités de location","4 à 9","Autriche","AUT"
13.6,42.7,40,84,3.2,0,"Activités créatives, artistiques et de spectacle","4 à 9","Autriche","AUT"
8.5,36.9,27.5,46,1.1,0,"Agriculture, sylviculture et pêche","4 à 9","Autriche","AUT"
28.9,67.7,65.5,14,1.4,0,"Enseignement","4 à 9","Autriche","AUT"
41.8,37,37,22,1,0,"Administration publique et santé","4 à 9","Autriche","AUT"
22.2,61.3,53.6,34,2,1,"Ensemble des secteurs","10 à 19","Autriche","AUT"
32.4,75.9,69.8,18,1.4,0,"Industries extractives","10 à 19","Autriche","AUT"
16.7,43.2,39.5,30,1.4,0,"Industries alimentaire","10 à 19","Autriche","AUT"
19,57.1,53.6,35,1.2,0,"Fabrication de textiles","10 à 19","Autriche","AUT"
10.5,53.2,37.8,51,1.5,0,"Industrie du papier et du carton","10 à 19","Autriche","AUT"
58.7,73.9,65.2,16,1.8,0,"Cockefaction et raffinage","10 à 19","Autriche","AUT"
20.7,61.4,59.2,25,1.4,0,"Métallurgie","10 à 19","Autriche","AUT"
21.3,77.2,60.5,30,1.6,0,"Fabrication de produits informatiques","10 à 19","Autriche","AUT"
23.2,72.3,68.8,35,1.9,0,"Industrie automobile","10 à 19","Autriche","AUT"
12.1,50.3,39.6,34,1.4,0,"Fabrication de meubles","10 à 19","Autriche","AUT"
34.5,71.3,65.6,33,2,0,"Production et distribution d'électricité","10 à 19","Autriche","AUT"
17.3,56.3,49.3,41,2.1,0,"Construction","10 à 19","Autriche","AUT"
19.9,74.6,68,29,1.6,0,"Commerce et réparation d'automobiles","10 à 19","Autriche","AUT"
19.6,62.2,55.5,33,1.6,0,"Commerce de gros","10 à 19","Autriche","AUT"
19.7,57,46.7,27,1.6,0,"Commerce de détail","10 à 19","Autriche","AUT"
24.7,67.5,62.5,36,1.9,0,"Transports","10 à 19","Autriche","AUT"
11.5,44.1,31,38,3.1,0,"Hébergement, Restauration","10 à 19","Autriche","AUT"
17.5,63.4,51.4,42,1.4,0,"Edition, Production de films cinématographiques","10 à 19","Autriche","AUT"
39.8,64,63.1,42,2.4,0,"Activités des services financiers","10 à 19","Autriche","AUT"
47.4,78.3,73.5,30,3.2,0,"Activités auxiliaires de services financiers et d'assurance","10 à 19","Autriche","AUT"
29.4,69.1,57.2,27,2.2,0,"Activités des organisations associatives","10 à 19","Autriche","AUT"
24.7,58.6,57.4,30,1.9,0,"Activités immobilières","10 à 19","Autriche","AUT"
33.3,73.1,68,32,1.7,0,"Activités juridiques et comptables","10 à 19","Autriche","AUT"
17.4,66.3,55.5,35,1.9,0,"Activités de location","10 à 19","Autriche","AUT"
27.5,62.3,57.4,51,5.1,0,"Activités créatives, artistiques et de spectacle","10 à 19","Autriche","AUT"
21.2,48,44.5,17,1.2,0,"Agriculture, sylviculture et pêche","10 à 19","Autriche","AUT"
31.9,65.1,58.6,20,2,0,"Enseignement","10 à 19","Autriche","AUT"
26.9,74.8,68.8,48,2.7,0,"Administration publique et santé","10 à 19","Autriche","AUT"
27.4,78.9,72,30,2,1,"Ensemble des secteurs","20 à 49","Autriche","AUT"
32.1,82.5,78.6,23,2.1,0,"Industries extractives","20 à 49","Autriche","AUT"
34.3,71.3,66.1,22,2.3,0,"Industries alimentaire","20 à 49","Autriche","AUT"
24.6,78.8,68.9,31,1.9,0,"Fabrication de textiles","20 à 49","Autriche","AUT"
21,75.5,67.7,28,1.7,0,"Industrie du papier et du carton","20 à 49","Autriche","AUT"
35.2,90.6,85.6,18,1.9,0,"Cockefaction et raffinage","20 à 49","Autriche","AUT"
31.7,84.9,80.5,27,2,0,"Métallurgie","20 à 49","Autriche","AUT"
35.8,91.4,81.5,28,2.2,0,"Fabrication de produits informatiques","20 à 49","Autriche","AUT"
20,84.2,69.7,22,1.7,0,"Industrie automobile","20 à 49","Autriche","AUT"
19.9,63.2,60.6,56,2,0,"Fabrication de meubles","20 à 49","Autriche","AUT"
43.9,94,85.8,21,2.2,0,"Production et distribution d'électricité","20 à 49","Autriche","AUT"
