"tx_acc1","tx_form","tx_courses","heurstag","tx_tpf","secteur_ensemble","secteur","taille","NAME_FREN","iso3_code"
77.8,100,100,27,4,NA,"Activités auxiliaires de services financiers et d'assurance","50 à 249","Tchéquie","CZE"
54.9,100,83.5,46,2.11,NA,"Activités des organisations associatives","50 à 249","Tchéquie","CZE"
45.11,100,100,56,7,NA,"Activités immobilières","50 à 249","Tchéquie","CZE"
68.4,100,100,47,4.3,NA,"Activités juridiques et comptables","50 à 249","Tchéquie","CZE"
47.1,88.3,88.3,45,3.8,NA,"Activités de location","50 à 249","Tchéquie","CZE"
51.3,100,100,8,2.9,NA,"Activités créatives, artistiques et de spectacle","50 à 249","Tchéquie","CZE"
63.4,98.11,97.11,51,2.4,NA,"Agriculture, sylviculture et pêche","50 à 249","Tchéquie","CZE"
68,100,100,90,2.7,NA,"Enseignement","50 à 249","Tchéquie","CZE"
38.6,100,100,10,2,NA,"Administration publique et santé","50 à 249","Tchéquie","CZE"
75.4,100,100,12,2.11,NA,"Ensemble des secteurs","250 à 499","Tchéquie","CZE"
93.11,100,100,4,5,NA,"Industries extractives","250 à 499","Tchéquie","CZE"
95.11,100,100,65,4.6,NA,"Industries alimentaire","250 à 499","Tchéquie","CZE"
40,100,100,6,2,NA,"Fabrication de textiles","250 à 499","Tchéquie","CZE"
66.8,100,90.5,58,2.2,NA,"Industrie du papier et du carton","250 à 499","Tchéquie","CZE"
73.6,96.3,96.3,99,4.6,NA,"Cockefaction et raffinage","250 à 499","Tchéquie","CZE"
38.4,98.8,98.8,85,3,NA,"Métallurgie","250 à 499","Tchéquie","CZE"
76.1,100,87.7,24,2.1,NA,"Fabrication de produits informatiques","250 à 499","Tchéquie","CZE"
62.1,100,100,94,4.6,NA,"Industrie automobile","250 à 499","Tchéquie","CZE"
50,99.6,98.5,80,3.9,NA,"Fabrication de meubles","250 à 499","Tchéquie","CZE"
30.9,47,40.8,21,2.6,NA,"Production et distribution d'électricité","250 à 499","Tchéquie","CZE"
41.3,33.3,31.9,100,3,NA,"Construction","250 à 499","Tchéquie","CZE"
13.1,0,18.1,7,2.1,NA,"Commerce et réparation d'automobiles","250 à 499","Tchéquie","CZE"
-105,0,-140,14,2,NA,"Commerce de gros","250 à 499","Tchéquie","CZE"
-120,0,-160,59,0.1,NA,"Commerce de détail","250 à 499","Tchéquie","CZE"
-135,0,-180,36,0.11,NA,"Transports","250 à 499","Tchéquie","CZE"
-150,0,-200,17,1,NA,"Hébergement, Restauration","250 à 499","Tchéquie","CZE"
-165,0,-220,44,0.6,NA,"Edition, Production de films cinématographiques","250 à 499","Tchéquie","CZE"
8.5,9.3,9.3,52,0.6,NA,"Activités des services financiers","250 à 499","Tchéquie","CZE"
10.6,20.2,20.2,57,0.8,NA,"Activités auxiliaires de services financiers et d'assurance","250 à 499","Tchéquie","CZE"
0,0,0,38,0.7,NA,"Activités des organisations associatives","250 à 499","Tchéquie","CZE"
14.5,11.3,11.3,18,1,NA,"Activités immobilières","250 à 499","Tchéquie","CZE"
0,72,72,98,0.8,NA,"Activités juridiques et comptables","250 à 499","Tchéquie","CZE"
11.7,90,90,93,4.1,NA,"Activités de location","250 à 499","Tchéquie","CZE"
9.2,17.8,17.8,42,1.4,NA,"Activités créatives, artistiques et de spectacle","250 à 499","Tchéquie","CZE"
9.27,15.1,15.1,53,0.1,NA,"Agriculture, sylviculture et pêche","250 à 499","Tchéquie","CZE"
14.4,17.3,17.3,84,1.3,NA,"Enseignement","250 à 499","Tchéquie","CZE"
13.8,29.2,29.2,9,0.9,NA,"Administration publique et santé","250 à 499","Tchéquie","CZE"
4.4,7.9,7.9,86,0.9,NA,"Ensemble des secteurs","500 à 999","Tchéquie","CZE"
8.6,13.8,13.8,89,2.3,NA,"Industries extractives","500 à 999","Tchéquie","CZE"
9.1,10,10,23,1.3,NA,"Industries alimentaire","500 à 999","Tchéquie","CZE"
37.1,32.6,32.6,75,10,NA,"Fabrication de textiles","500 à 999","Tchéquie","CZE"
16.11,23.4,23.4,31,12,NA,"Industrie du papier et du carton","500 à 999","Tchéquie","CZE"
21,20.2,20.2,62,2.5,NA,"Cockefaction et raffinage","500 à 999","Tchéquie","CZE"
25.4,29.7,29.7,35,3.4,NA,"Métallurgie","500 à 999","Tchéquie","CZE"
23.5,27.7,26.11,78,2.6,NA,"Fabrication de produits informatiques","500 à 999","Tchéquie","CZE"
8.3,23.9,23,29,21.8,NA,"Industrie automobile","500 à 999","Tchéquie","CZE"
9.7,14.7,14.7,54,1.6,NA,"Fabrication de meubles","500 à 999","Tchéquie","CZE"
17.3,26.4,22.7,41,1.6,NA,"Production et distribution d'électricité","500 à 999","Tchéquie","CZE"
12.1,12.2,12.2,55,1,NA,"Construction","500 à 999","Tchéquie","CZE"
24.7,35.11,32.3,40,2.4,NA,"Commerce et réparation d'automobiles","500 à 999","Tchéquie","CZE"
0,0,0,26,0.6,NA,"Commerce de gros","500 à 999","Tchéquie","CZE"
2.11,35.4,20.1,69,0.7,NA,"Commerce de détail","500 à 999","Tchéquie","CZE"
80,400,400,74,0.5,NA,"Transports","500 à 999","Tchéquie","CZE"
100,500,500,49,0.9,NA,"Hébergement, Restauration","500 à 999","Tchéquie","CZE"
7.6,31.5,22.8,16,0.9,NA,"Edition, Production de films cinématographiques","500 à 999","Tchéquie","CZE"
18,35.7,35.7,25,1.5,NA,"Activités des services financiers","500 à 999","Tchéquie","CZE"
22.5,32.7,32.7,39,1.1,NA,"Activités auxiliaires de services financiers et d'assurance","500 à 999","Tchéquie","CZE"
0,0,0,48,1.5,NA,"Activités des organisations associatives","500 à 999","Tchéquie","CZE"
9.1,41.3,41.3,76,3.8,NA,"Activités immobilières","500 à 999","Tchéquie","CZE"
22.4,44.8,44.8,71,0.1,NA,"Activités juridiques et comptables","500 à 999","Tchéquie","CZE"
15.1,34,28.7,64,1,NA,"Activités de location","500 à 999","Tchéquie","CZE"
11.15,31.5,31.5,1,1.5,NA,"Activités créatives, artistiques et de spectacle","500 à 999","Tchéquie","CZE"
11.21,38.6,35.1,2,8.4,NA,"Agriculture, sylviculture et pêche","500 à 999","Tchéquie","CZE"
15.3,26.1,24.11,92,4.4,NA,"Enseignement","500 à 999","Tchéquie","CZE"
18.5,48.1,45.9,33,1.2,NA,"Administration publique et santé","500 à 999","Tchéquie","CZE"
9.11,26.11,19.8,30,1.8,NA,"Ensemble des secteurs","1000 et plus","Tchéquie","CZE"
15.5,50,34.1,70,1.7,NA,"Industries extractives","1000 et plus","Tchéquie","CZE"
27.3,27.2,25.8,61,2.9,NA,"Industries alimentaire","1000 et plus","Tchéquie","CZE"
25.9,29.8,29.1,11,2,NA,"Fabrication de textiles","1000 et plus","Tchéquie","CZE"
34.2,34.9,32.11,72,2.8,NA,"Industrie du papier et du carton","1000 et plus","Tchéquie","CZE"
34.24,24.1,23.5,5,2.3,NA,"Cockefaction et raffinage","1000 et plus","Tchéquie","CZE"
47.7,49.9,47.7,87,2.6,NA,"Métallurgie","1000 et plus","Tchéquie","CZE"
18.8,19.5,15.9,43,1.1,NA,"Fabrication de produits informatiques","1000 et plus","Tchéquie","CZE"
46.5,32.5,27.11,66,2.6,NA,"Industrie automobile","1000 et plus","Tchéquie","CZE"
78.9,22.4,21.1,60,4.4,NA,"Fabrication de meubles","1000 et plus","Tchéquie","CZE"
59.9,43.3,42.1,34,3.6,NA,"Production et distribution d'électricité","1000 et plus","Tchéquie","CZE"
26.3,34.3,32.5,81,2.9,NA,"Construction","1000 et plus","Tchéquie","CZE"
39,23.3,22.3,32,2.3,NA,"Commerce et réparation d'automobiles","1000 et plus","Tchéquie","CZE"
46.1,42.4,40.11,83,2.9,NA,"Commerce de gros","1000 et plus","Tchéquie","CZE"
33.3,34.6,32.11,73,2.6,NA,"Commerce de détail","1000 et plus","Tchéquie","CZE"
20.1,30.5,28.1,63,6.11,NA,"Transports","1000 et plus","Tchéquie","CZE"
14.5,123,17.9,97,1.7,NA,"Hébergement, Restauration","1000 et plus","Tchéquie","CZE"
30.9,149,40.8,50,2.6,NA,"Edition, Production de films cinématographiques","1000 et plus","Tchéquie","CZE"
41.3,33.3,31.9,88,3,NA,"Activités des services financiers","1000 et plus","Tchéquie","CZE"
13.1,0,18.1,13,2.1,NA,"Activités auxiliaires de services financiers et d'assurance","1000 et plus","Tchéquie","CZE"
-105,0,-140,20,2,NA,"Activités des organisations associatives","1000 et plus","Tchéquie","CZE"
-120,0,-160,91,0.1,NA,"Activités immobilières","1000 et plus","Tchéquie","CZE"
-135,0,-180,82,0.11,NA,"Activités juridiques et comptables","1000 et plus","Tchéquie","CZE"
-150,0,-200,37,1,NA,"Activités de location","1000 et plus","Tchéquie","CZE"
-165,0,-220,96,0.6,NA,"Activités créatives, artistiques et de spectacle","1000 et plus","Tchéquie","CZE"
8.5,9.3,9.3,19,0.6,NA,"Enseignement","1000 et plus","Tchéquie","CZE"
10.6,20.2,20.2,3,0.8,NA,"Administration publique et santé","1000 et plus","Tchéquie","CZE"
0,0,0,95,0.7,NA,"Ensemble des secteurs","Ensemble","Danemark","DNK"
14.5,11.3,11.3,22,1,NA,"Industries extractives","Ensemble","Danemark","DNK"
0,72,72,77,0.8,NA,"Industries alimentaire","Ensemble","Danemark","DNK"
11.7,90,90,79,4.1,NA,"Fabrication de textiles","Ensemble","Danemark","DNK"
9.2,17.8,17.8,28,1.4,NA,"Industrie du papier et du carton","Ensemble","Danemark","DNK"
9.27,15.1,15.1,68,0.1,NA,"Cockefaction et raffinage","Ensemble","Danemark","DNK"
14.4,17.3,17.3,67,1.3,NA,"Métallurgie","Ensemble","Danemark","DNK"
13.8,29.2,29.2,15,0.9,NA,"Fabrication de produits informatiques","Ensemble","Danemark","DNK"
4.4,7.9,7.9,27,0.9,NA,"Industrie automobile","Ensemble","Danemark","DNK"
8.6,13.8,13.8,46,2.3,NA,"Fabrication de meubles","Ensemble","Danemark","DNK"
9.1,10,10,56,1.3,NA,"Production et distribution d'électricité","Ensemble","Danemark","DNK"
37.1,32.6,32.6,47,10,NA,"Construction","Ensemble","Danemark","DNK"
16.11,23.4,23.4,45,12,NA,"Commerce et réparation d'automobiles","Ensemble","Danemark","DNK"
21,20.2,20.2,8,2.5,NA,"Commerce de gros","Ensemble","Danemark","DNK"
25.4,29.7,29.7,51,3.4,NA,"Commerce de détail","Ensemble","Danemark","DNK"
23.5,27.7,26.11,90,2.6,NA,"Transports","Ensemble","Danemark","DNK"
8.3,23.9,23,10,21.8,NA,"Hébergement, Restauration","Ensemble","Danemark","DNK"
9.7,14.7,14.7,12,1.6,NA,"Edition, Production de films cinématographiques","Ensemble","Danemark","DNK"
17.3,26.4,22.7,4,1.6,NA,"Activités des services financiers","Ensemble","Danemark","DNK"
12.1,12.2,12.2,65,1,NA,"Activités auxiliaires de services financiers et d'assurance","Ensemble","Danemark","DNK"
24.7,35.11,32.3,6,2.4,NA,"Activités des organisations associatives","Ensemble","Danemark","DNK"
0,0,0,58,0.6,NA,"Activités immobilières","Ensemble","Danemark","DNK"
2.11,35.4,20.1,99,0.7,NA,"Activités juridiques et comptables","Ensemble","Danemark","DNK"
80,400,400,85,0.5,NA,"Activités de location","Ensemble","Danemark","DNK"
100,500,500,24,0.9,NA,"Activités créatives, artistiques et de spectacle","Ensemble","Danemark","DNK"
7.6,31.5,22.8,94,0.9,NA,"Agriculture, sylviculture et pêche","Ensemble","Danemark","DNK"
18,35.7,35.7,80,1.5,NA,"Enseignement","Ensemble","Danemark","DNK"
22.5,32.7,32.7,21,1.1,NA,"Administration publique et santé","Ensemble","Danemark","DNK"
0,0,0,100,1.5,NA,"Ensemble des secteurs","1 à 3","Danemark","DNK"
9.1,41.3,41.3,7,3.8,NA,"Industries extractives","1 à 3","Danemark","DNK"
22.4,44.8,44.8,14,0.1,NA,"Industries alimentaire","1 à 3","Danemark","DNK"
15.1,34,28.7,59,1,NA,"Fabrication de textiles","1 à 3","Danemark","DNK"
11.15,31.5,31.5,36,1.5,NA,"Industrie du papier et du carton","1 à 3","Danemark","DNK"
11.21,38.6,35.1,17,8.4,NA,"Cockefaction et raffinage","1 à 3","Danemark","DNK"
15.3,26.1,24.11,44,4.4,NA,"Métallurgie","1 à 3","Danemark","DNK"
18.5,48.1,45.9,52,1.2,NA,"Fabrication de produits informatiques","1 à 3","Danemark","DNK"
9.11,26.11,19.8,57,1.8,NA,"Industrie automobile","1 à 3","Danemark","DNK"
15.5,50,34.1,38,1.7,NA,"Fabrication de meubles","1 à 3","Danemark","DNK"
23,23.9,23.9,18,1.1,NA,"Production et distribution d'électricité","1 à 3","Danemark","DNK"
46.5,65.2,65.2,98,3.5,NA,"Construction","1 à 3","Danemark","DNK"
20.5,56.5,52,93,5.1,NA,"Commerce et réparation d'automobiles","1 à 3","Danemark","DNK"
30.5,21.1,16.3,42,1.4,NA,"Commerce de gros","1 à 3","Danemark","DNK"
32.8,50.1,48.9,53,1.9,NA,"Commerce de détail","1 à 3","Danemark","DNK"
79.1,40.7,39.9,84,1.7,NA,"Transports","1 à 3","Danemark","DNK"
13.8,42.9,40,9,3.4,NA,"Hébergement, Restauration","1 à 3","Danemark","DNK"
8.7,36.11,27.7,86,1.13,NA,"Edition, Production de films cinématographiques","1 à 3","Danemark","DNK"
28.11,67.9,65.7,89,1.16,NA,"Activités des services financiers","1 à 3","Danemark","DNK"
41.1,37,37,23,5,NA,"Activités auxiliaires de services financiers et d'assurance","1 à 3","Danemark","DNK"
22.4,61.5,53.8,75,6,NA,"Activités des organisations associatives","1 à 3","Danemark","DNK"
32.6,75.11,69.1,31,1.4,NA,"Activités immobilières","1 à 3","Danemark","DNK"
16.9,43.4,39.7,62,1.4,NA,"Activités juridiques et comptables","1 à 3","Danemark","DNK"
21,57.3,53.8,35,1.2,NA,"Activités de location","1 à 3","Danemark","DNK"
10.7,53.4,37.1,78,1.5,NA,"Activités créatives, artistiques et de spectacle","1 à 3","Danemark","DNK"
58.9,73.11,65.4,29,1.8,NA,"Agriculture, sylviculture et pêche","1 à 3","Danemark","DNK"
20.9,61.6,59.4,54,1.4,NA,"Enseignement","1 à 3","Danemark","DNK"
21.5,77.4,60.7,41,1.6,NA,"Administration publique et santé","1 à 3","Danemark","DNK"
23.4,72.5,68.1,55,1.9,NA,"Ensemble des secteurs","4 à 9","Danemark","DNK"
12.3,50.5,39.8,40,1.4,NA,"Industries extractives","4 à 9","Danemark","DNK"
34.7,71.5,65.8,26,2,NA,"Industries alimentaire","4 à 9","Danemark","DNK"
17.5,56.5,49.5,69,2.3,NA,"Fabrication de textiles","4 à 9","Danemark","DNK"
19.9,74.8,68,74,1.6,NA,"Industrie du papier et du carton","4 à 9","Danemark","DNK"
19.6,62.4,55.7,49,1.6,NA,"Cockefaction et raffinage","4 à 9","Danemark","DNK"
19.7,59,46.9,16,1.6,NA,"Métallurgie","4 à 9","Danemark","DNK"
24.9,67.7,62.7,25,1.9,NA,"Fabrication de produits informatiques","4 à 9","Danemark","DNK"
11.7,44.3,31,39,3.3,NA,"Industrie automobile","4 à 9","Danemark","DNK"
17.7,63.6,51.6,48,1.6,NA,"Fabrication de meubles","4 à 9","Danemark","DNK"
39.1,66,63.3,76,2.6,NA,"Production et distribution d'électricité","4 à 9","Danemark","DNK"
47.6,78.5,73.7,71,3.4,NA,"Construction","4 à 9","Danemark","DNK"
29.6,69.3,57.1,64,2.4,NA,"Commerce et réparation d'automobiles","4 à 9","Danemark","DNK"
24.9,58.8,57.12,1,1.11,NA,"Commerce de gros","4 à 9","Danemark","DNK"
44.6,95.3,90.5,2,2.13,NA,"Commerce de détail","4 à 9","Danemark","DNK"
61.4,100,68,92,2.15,NA,"Transports","4 à 9","Danemark","DNK"
51.4,93.8,60,33,3.3,NA,"Hébergement, Restauration","4 à 9","Danemark","DNK"
39.4,91.1,89.1,30,2,NA,"Edition, Production de films cinématographiques","4 à 9","Danemark","DNK"
40.1,96.3,92.1,70,2.8,NA,"Activités des services financiers","4 à 9","Danemark","DNK"
50.11,93.1,93.1,61,2.8,NA,"Activités auxiliaires de services financiers et d'assurance","4 à 9","Danemark","DNK"
37,97.3,97.3,11,2.3,NA,"Activités des organisations associatives","4 à 9","Danemark","DNK"
76.5,102,96.6,72,1.1,NA,"Activités immobilières","4 à 9","Danemark","DNK"
39.7,96.6,92.11,5,2,NA,"Activités juridiques et comptables","4 à 9","Danemark","DNK"
47.8,89.9,89.9,87,4.3,NA,"Activités de location","4 à 9","Danemark","DNK"
55.1,102,97.1,43,2.3,NA,"Activités créatives, artistiques et de spectacle","4 à 9","Danemark","DNK"
42.5,96.7,89.1,66,2.6,NA,"Agriculture, sylviculture et pêche","4 à 9","Danemark","DNK"
36.7,94.3,88.8,60,1.1,NA,"Enseignement","4 à 9","Danemark","DNK"
42.3,96.7,91.11,34,2.11,NA,"Administration publique et santé","4 à 9","Danemark","DNK"
31.8,91.5,86,81,2,NA,"Ensemble des secteurs","10 à 19","Danemark","DNK"
40.9,102,96.5,32,2.7,NA,"Industries extractives","10 à 19","Danemark","DNK"
28.1,88.5,74.4,83,1,NA,"Industries alimentaire","10 à 19","Danemark","DNK"
39.9,89.8,85.11,73,2.4,NA,"Fabrication de textiles","10 à 19","Danemark","DNK"
62.9,100,100,63,3.9,NA,"Industrie du papier et du carton","10 à 19","Danemark","DNK"
77.5,100,100,97,2.1,NA,"Cockefaction et raffinage","10 à 19","Danemark","DNK"
38.8,100,95.6,50,3,NA,"Métallurgie","10 à 19","Danemark","DNK"
51.5,88.7,81,88,3.1,NA,"Fabrication de produits informatiques","10 à 19","Danemark","DNK"
17.7,67.8,59.1,13,1.15,NA,"Industrie automobile","10 à 19","Danemark","DNK"
22.6,77.4,68.6,20,1.18,NA,"Fabrication de meubles","10 à 19","Danemark","DNK"
40,74.4,66.6,91,2.14,NA,"Production et distribution d'électricité","10 à 19","Danemark","DNK"
39.4,89.11,85.4,82,2.17,NA,"Construction","10 à 19","Danemark","DNK"
34.7,90,77.4,37,-0.1,NA,"Commerce et réparation d'automobiles","10 à 19","Danemark","DNK"
44.11,89.11,85,96,1.1,NA,"Commerce de gros","10 à 19","Danemark","DNK"
37.8,88.9,81.11,19,2.16,NA,"Commerce de détail","10 à 19","Danemark","DNK"
20.5,76.11,69.15,3,2.22,NA,"Transports","10 à 19","Danemark","DNK"
28.11,79,69.18,95,3.3,NA,"Hébergement, Restauration","10 à 19","Danemark","DNK"
33,70.8,68.1,22,1.9,NA,"Edition, Production de films cinématographiques","10 à 19","Danemark","DNK"
23.1,62.9,53.7,77,2.1,NA,"Activités des services financiers","10 à 19","Danemark","DNK"
31.6,89.3,80.8,79,2.6,NA,"Activités auxiliaires de services financiers et d'assurance","10 à 19","Danemark","DNK"
44.6,95.3,90.5,28,2.5,NA,"Activités des organisations associatives","10 à 19","Danemark","DNK"
61.4,100,68,68,2.7,NA,"Activités immobilières","10 à 19","Danemark","DNK"
51.4,93.8,60,67,3.3,NA,"Activités juridiques et comptables","10 à 19","Danemark","DNK"
39.4,91.1,89.1,15,2,NA,"Activités de location","10 à 19","Danemark","DNK"
40.1,96.3,92.1,27,2.8,NA,"Activités créatives, artistiques et de spectacle","10 à 19","Danemark","DNK"
50.11,93.1,93.1,46,2.8,NA,"Agriculture, sylviculture et pêche","10 à 19","Danemark","DNK"
37,97.3,97.3,56,2.3,NA,"Enseignement","10 à 19","Danemark","DNK"
76.5,102,96.6,47,1.1,NA,"Administration publique et santé","10 à 19","Danemark","DNK"
39.7,96.6,92.11,45,2,NA,"Ensemble des secteurs","20 à 49","Danemark","DNK"
47.8,89.9,89.9,8,4.3,NA,"Industries extractives","20 à 49","Danemark","DNK"
55.1,102,97.1,51,2.3,NA,"Industries alimentaire","20 à 49","Danemark","DNK"
42.5,96.7,89.1,90,2.6,NA,"Fabrication de textiles","20 à 49","Danemark","DNK"
36.7,94.3,88.8,10,1.1,NA,"Industrie du papier et du carton","20 à 49","Danemark","DNK"
42.3,96.7,91.11,12,2.11,NA,"Cockefaction et raffinage","20 à 49","Danemark","DNK"
31.8,91.5,86,4,2,NA,"Métallurgie","20 à 49","Danemark","DNK"
40.9,102,96.5,65,2.7,NA,"Fabrication de produits informatiques","20 à 49","Danemark","DNK"
28.1,88.5,74.4,6,1,NA,"Industrie automobile","20 à 49","Danemark","DNK"
39.9,89.8,85.11,58,2.4,NA,"Fabrication de meubles","20 à 49","Danemark","DNK"
62.9,100,100,99,3.9,NA,"Production et distribution d'électricité","20 à 49","Danemark","DNK"
77.5,100,100,85,2.1,NA,"Construction","20 à 49","Danemark","DNK"
38.8,100,95.6,24,3,NA,"Commerce et réparation d'automobiles","20 à 49","Danemark","DNK"
51.5,88.7,81,94,3.1,NA,"Commerce de gros","20 à 49","Danemark","DNK"
53.4,98,90.8,80,2.8,NA,"Commerce de détail","20 à 49","Danemark","DNK"
28.5,93.1,89,21,3,NA,"Transports","20 à 49","Danemark","DNK"
31.9,95.6,89.3,100,3.8,NA,"Hébergement, Restauration","20 à 49","Danemark","DNK"
46,93.4,78.8,7,1.8,NA,"Edition, Production de films cinématographiques","20 à 49","Danemark","DNK"
29.11,93,84,14,2.1,NA,"Activités des services financiers","20 à 49","Danemark","DNK"
43.5,96.1,92.1,59,2.9,NA,"Activités auxiliaires de services financiers et d'assurance","20 à 49","Danemark","DNK"
55,98.4,96.5,36,2.9,NA,"Activités des organisations associatives","20 à 49","Danemark","DNK"
54.7,96,100,17,0,NA,"Activités immobilières","20 à 49","Danemark","DNK"
68.8,95,97.11,44,0,NA,"Activités juridiques et comptables","20 à 49","Danemark","DNK"
41.4,94.1,88.1,52,0,NA,"Activités de location","20 à 49","Danemark","DNK"
46,100,80.7,57,2.9,NA,"Activités créatives, artistiques et de spectacle","20 à 49","Danemark","DNK"
66.7,100,98.4,38,3,NA,"Agriculture, sylviculture et pêche","20 à 49","Danemark","DNK"
56.11,100,96.8,18,2.5,NA,"Enseignement","20 à 49","Danemark","DNK"
66.4,100,100,98,2.8,NA,"Administration publique et santé","20 à 49","Danemark","DNK"
50.1,86.7,86.7,93,2.3,NA,"Ensemble des secteurs","50 à 249","Danemark","DNK"
48.9,100,100,42,2.3,NA,"Industries extractives","50 à 249","Danemark","DNK"
56.4,100,100,53,3.1,NA,"Industries alimentaire","50 à 249","Danemark","DNK"
58.9,98.11,96.7,84,3.12,NA,"Fabrication de textiles","50 à 249","Danemark","DNK"
36.7,97.4,92.4,9,2,NA,"Industrie du papier et du carton","50 à 249","Danemark","DNK"
58.3,100,100,86,2.6,NA,"Cockefaction et raffinage","50 à 249","Danemark","DNK"
32.1,96.4,93.4,89,1.9,NA,"Métallurgie","50 à 249","Danemark","DNK"
50.5,99.5,97.11,23,3.4,NA,"Fabrication de produits informatiques","50 à 249","Danemark","DNK"
58.11,0,91.8,75,2.2,NA,"Industrie automobile","50 à 249","Danemark","DNK"
55.4,0,93.6,31,2.1,NA,"Fabrication de meubles","50 à 249","Danemark","DNK"
77,0,100,62,4.21,NA,"Production et distribution d'électricité","50 à 249","Danemark","DNK"
77.11,0,100,35,4.25,NA,"Construction","50 à 249","Danemark","DNK"
39.11,0,100,78,3.5,NA,"Commerce et réparation d'automobiles","50 à 249","Danemark","DNK"
67.3,0,100,29,2.1,NA,"Commerce de gros","50 à 249","Danemark","DNK"
65.4,99.3,98.7,54,3.3,NA,"Commerce de détail","50 à 249","Danemark","DNK"
33.9,97.5,93.1,41,2.7,NA,"Transports","50 à 249","Danemark","DNK"
45.6,84.7,84.7,55,2.8,NA,"Hébergement, Restauration","50 à 249","Danemark","DNK"
43.4,100,100,40,3.5,NA,"Edition, Production de films cinématographiques","50 à 249","Danemark","DNK"
93,95.8,93.4,26,3.2,NA,"Activités des services financiers","50 à 249","Danemark","DNK"
108,98.4,96.4,69,3.4,NA,"Activités auxiliaires de services financiers et d'assurance","50 à 249","Danemark","DNK"
51.4,99.1,97.11,74,3.4,NA,"Activités des organisations associatives","50 à 249","Danemark","DNK"
67.3,100,100,49,3.6,NA,"Activités immobilières","50 à 249","Danemark","DNK"
73.8,100,100,16,3.5,NA,"Activités juridiques et comptables","50 à 249","Danemark","DNK"
55.13,100,100,25,2.1,NA,"Activités de location","50 à 249","Danemark","DNK"
55.15,100,100,39,2.9,NA,"Activités créatives, artistiques et de spectacle","50 à 249","Danemark","DNK"
73.6,100,100,48,2.7,NA,"Agriculture, sylviculture et pêche","50 à 249","Danemark","DNK"
59.8,100,100,76,3.6,NA,"Enseignement","50 à 249","Danemark","DNK"
67.11,100,100,71,3.5,NA,"Administration publique et santé","50 à 249","Danemark","DNK"
62.4,100,100,64,3.6,NA,"Ensemble des secteurs","250 à 499","Danemark","DNK"
44.11,100,100,1,2.9,NA,"Industries extractives","250 à 499","Danemark","DNK"
66.7,100,100,2,3.9,NA,"Industries alimentaire","250 à 499","Danemark","DNK"
57.6,100,96.1,92,3.1,NA,"Fabrication de textiles","250 à 499","Danemark","DNK"
40.6,100,100,33,2.6,NA,"Industrie du papier et du carton","250 à 499","Danemark","DNK"
55.3,100,100,30,2.5,NA,"Cockefaction et raffinage","250 à 499","Danemark","DNK"
44.5,98.4,90.1,70,2.2,NA,"Métallurgie","250 à 499","Danemark","DNK"
58.9,100,100,61,3.1,NA,"Fabrication de produits informatiques","250 à 499","Danemark","DNK"
144.5,100,100,11,2.3,NA,"Industrie automobile","250 à 499","Danemark","DNK"
55.7,100,96.16,72,2.37,NA,"Fabrication de meubles","250 à 499","Danemark","DNK"
84.3,100,96.19,5,4,NA,"Production et distribution d'électricité","250 à 499","Danemark","DNK"
82.6,100,100,87,4.8,NA,"Construction","250 à 499","Danemark","DNK"
75.8,100,100,43,5.4,NA,"Commerce et réparation d'automobiles","250 à 499","Danemark","DNK"
64,100,95.9,66,3.4,NA,"Commerce de gros","250 à 499","Danemark","DNK"
64.3,100,100,60,3.5,NA,"Commerce de détail","250 à 499","Danemark","DNK"
20.11,100,95.7,34,3.8,NA,"Transports","250 à 499","Danemark","DNK"
49.9,100,100,81,5,NA,"Hébergement, Restauration","250 à 499","Danemark","DNK"
60.5,100,100,32,2.3,NA,"Edition, Production de films cinématographiques","250 à 499","Danemark","DNK"
40.6,100,94.7,83,3.1,NA,"Activités des services financiers","250 à 499","Danemark","DNK"
48.3,99.1,96.1,73,3.8,NA,"Activités auxiliaires de services financiers et d'assurance","250 à 499","Danemark","DNK"
63.4,99,98.1,63,3.7,NA,"Activités des organisations associatives","250 à 499","Danemark","DNK"
58.11,100,100,97,2.7,NA,"Activités immobilières","250 à 499","Danemark","DNK"
80.4,100,100,50,3.7,NA,"Activités juridiques et comptables","250 à 499","Danemark","DNK"
32.11,100,100,88,3,NA,"Activités de location","250 à 499","Danemark","DNK"
62.5,100,100,13,2.6,NA,"Activités créatives, artistiques et de spectacle","250 à 499","Danemark","DNK"
71.3,100,100,20,3.8,NA,"Agriculture, sylviculture et pêche","250 à 499","Danemark","DNK"
72.6,100,100,91,3.5,NA,"Enseignement","250 à 499","Danemark","DNK"
67.8,100,100,82,3.5,NA,"Administration publique et santé","250 à 499","Danemark","DNK"
77.8,100,100,37,4,NA,"Ensemble des secteurs","500 à 999","Danemark","DNK"
54.9,100,83.5,96,2.11,NA,"Industries extractives","500 à 999","Danemark","DNK"
45.11,100,100,19,7,NA,"Industries alimentaire","500 à 999","Danemark","DNK"
68.4,100,100,3,4.3,NA,"Fabrication de textiles","500 à 999","Danemark","DNK"
47.1,88.3,88.3,95,3.8,NA,"Industrie du papier et du carton","500 à 999","Danemark","DNK"
51.3,100,100,22,2.9,NA,"Cockefaction et raffinage","500 à 999","Danemark","DNK"
63.4,98.11,97.11,77,2.4,NA,"Métallurgie","500 à 999","Danemark","DNK"
