tx_acc1	taux_acces	taille_equi	secteur_equi	tx_form	part_form	tx_courses	heurstag	h_stag	tx_tpf	TPF	tx_c5a	tx_c5b	tx_c5c	tx_c5d	tx_c5e	tx_c5f	tx_c5g	tx_c5h	tx_c5i	tx_c5autr	tx_c5j	tx_c5k	tx_c5l	tx_d3a	tx_d3b	tx_d3c	tx_d3d	tx_d3e	tx_d3f	tx_d3g	tx_d3h	tx_d3i	tx_d3autr	secteur	secteur_ensemble	Info_secteur	taille
47.5	0.475	0	15	49.7	0.497	47.5	27	0.27	2.6	0.026	1.4	1.3	6.7	11.9	1.7	2.5	4.4	1.1	70.9	35.7	2	0.4	36.4	37.9	38.4	12.9	13.3	29.8	3.6	18.9	40.5	48.5	11.8	Transports	0	Transports terrestres et transport par conduites. par eau. aériens. Entreposage et services auxiliaires des transports. Activités de poste et de courrier	Ensemble
18.6	0.186	0	16	19.3	0.193	15.7	24.8	0.248	1.8	0.018	17.8	0.3	28.5	19.6	5.3	2.5	7.9	2.4	32.8	30.4	9.3	0	30.4	27.6	31	13.2	11.5	24.5	16.4	14.6	30.8	56.6	3	Hébergement. Restauration	0	Hébergement. Restauration	Ensemble
46.3	0.463	0	17	32.3	0.323	27.9	32.2	0.322	2.4	0.024	24.7	39.3	20.7	6.6	11.6	4.2	7.9	7.6	40.8	10.2	8.5	0.6	10.2	36.8	32.5	15.9	14.4	27.2	10.2	15.7	36.2	40.6	3.7	Edition. Production de films cinématographiques	0	"Edition. Production de films cinématographiques. de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale. Programmation et diffusion. Télécommunications. Programmation. conseil et autres activités informatiques. Services d'information"	Ensemble
78.7	0.787	0	18	22.2	0.222	21.8	24.2	0.242	4.2	0.042	4.4	10.7	18.3	7	15	6.1	16.3	12.3	45.5	23.4	1.2	0	24	39.3	26.5	14.4	9.3	14	7.6	6.8	36.3	64.6	8.6	Activités des services financiers	0	Activités des services financiers. hors assurance et caisses de retraite. Assurance	Ensemble
59.7	0.597	0	19	43.1	0.431	42.8	23	0.23	3.4	0.034	8.3	2.4	5.9	2.9	28.4	4.2	3.8	3	72.9	11.3	0.8	0	11.3	43.3	41.8	21	15	25.2	6.7	33.7	45.8	45.2	4.6	Activités auxiliaires de services financiers et d'assurance	0	Activités auxiliaires de services financiers et d'assurance	Ensemble
26.1	0.261	0	20	34.1	0.341	32.3	62.6	0.626	2.9	0.029	20.3	13.9	8.2	13.5	3.8	6.7	16.2	1.1	38.9	32.6	10.4	1.2	34.6	29.1	31.3	17.8	15.5	24.5	2.8	15	51.6	58.5	16.2	Activités des organisations associatives	0	Activités des organisations associatives	Ensemble
37	0.37	0	21	23.1	0.231	22.1	31.5	0.315	2.3	0.023	0.8	11.4	13	2	3	0.9	2.6	0.6	44	11.2	0.4	0.2	11.6	25	26.4	16.6	14.1	18.8	16.8	18.2	24.8	45.1	12.1	Activités immobilières	0	Activités immobilières. Réparation d'ordinateurs et de biens personnels et domestiques. Autres services personnels	Ensemble
46.8	0.468	0	22	42.2	0.422	40.9	30.5	0.305	2.9	0.029	8.3	10.4	12.1	6.1	6.4	3.1	15.2	3.7	56.9	12.4	1.1	0.1	13.7	38.6	41.6	17	13.4	35.9	11.4	25.7	35.6	54.2	6.9	Activités juridiques et comptables	0	"Activités juridiques et comptables. Activités des sièges sociaux ; conseil de gestion. Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques. Publicité et études de marché. Autres activités spécialisées. scientifiques et techniques. Activités vétérinaires"	Ensemble
33.1	0.331	0	23	34.4	0.344	32.9	24.6	0.246	2.6	0.026	0.9	9	8.1	3.7	10.5	2.8	2.9	1.7	31.2	13.7	1.1	0.3	14.2	24.2	58.8	18.7	6.9	18.4	5.6	14.8	62.4	70.3	5.4	Activités de location	0	Activités de location et location-bail. Activités liées à l'emploi. Activités des agences de voyage. voyagistes. services de réservation et activités connexes. Enquêtes et sécurité. Services relatifs aux bâtiments et aménagement paysager. Activités administratives et autres activités de soutien aux entreprises	Ensemble
20.8	0.208	0	24	30.3	0.303	28.8	86.6	0.866	6.9	0.069	3	6.8	6.4	5.4	9.4	1.3	11.9	0.9	39.4	32.2	1.9	0.4	32.5	25.8	27.6	19.3	8.3	16	6.6	19.5	25.2	47.5	10.5	Activités créatives. artistiques et de spectacle	0	Activités créatives. artistiques et de spectacle. Bibliothèques. archives. musées et autres activités culturelles. Organisation de jeux de hasard et d'argent. Activités sportives. récréatives et de loisirs	Ensemble
14.3	0.143	0	25	19	0.19	17.7	31	0.31	1.5	0.015	3.2	0.4	4.3	4	9.7	2.4	11.3	2.9	27	47.5	0.2	0.3	47.8	30.9	27.8	20.2	17.5	37.3	6.4	20.6	47.2	57.5	22.5	Agriculture. sylviculture et pêche	0	Culture et production animale. chasse et services annexes. Sylviculture et exploitation forestière. Pêche et aquaculture	Ensemble
30.7	0.307	0	26	45	0.45	40.6	20.2	0.202	2.4	0.024	3.3	7	6.5	6.1	2.1	1.9	19.5	7.4	53.9	26	0.5	0	26.8	25.5	30.6	20.8	7.5	30.4	2.4	14.3	35.6	52.6	9.5	Enseignement	0	Enseignement	Ensemble
41.1	0.411	0	27	33.1	0.331	31.7	27.4	0.274	3	0.03	2.4	4.5	18.2	17.9	0.3	5.5	9.4	1	63	23	5.7	1.4	23.2	25	35.7	16.5	7.3	28.3	6.2	18.2	51.5	79.7	10.6	Administration publique et santé	0	"Administration publique et défense ; sécurité sociale obligatoire. Activités pour la santé humaine. Hébergement médico-social et social. Action sociale sans hébergement"	Ensemble
13.8	0.138	1	0	19	0.19	18.8	100	1	2.8	0.028	5.7	7.3	5.4	5	7.1	1.5	6.9	1	39.1	16.6	1.8	0	17.7	28.8	33.7	17.8	10.2	21.8	9.5	19.5	43.6	52.4	9.9	Ensemble	1	Ensemble	1 à 3 salariés
75	0.75	1	1	100	1	100	9.3	0.093	2	0.02	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	100	0	0	0	100	100	0	Industries extractives	0	Extraction de houille et de lignite. Extraction d'hydrocarbures. Extraction de minerais métalliques. Autres industries extractives. Services de soutien aux industries extractives	1 à 3 salariés
0	0	1	2	0	0	0		0	0.6	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Industries alimentaire	0	Industries alimentaires. Fabrications de boissons. Fabrication de produits à base de tabac	1 à 3 salariés
0	0	1	3	0	0	0		0	0.7	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fabrication de textiles	0	Fabrication de textiles. Industrie de l'habillement. Industrie du cuir et de la chaussure	1 à 3 salariés
0	0	1	4	0	0	0		0	1	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Industrie du papier et du carton	0	Industrie du papier et du carton.  Imprimerie et reproduction d'enregistrements	1 à 3 salariés
0	0	1	5	0	0	0		0	0.6	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cockefaction et raffinage	0	Cockefaction et raffinage. Industrie chimique et pharmaceutique. Fabrication de produits en caoutchouc et en plastique. Fabrication d'autres produits minéraux non métalliques	1 à 3 salariés
8.3	0.083	1	6	9.3	0.093	9.3	12.2	0.122	0.6	0.006	0	0	0	0	0	0	0	0	100	0	0	0	0	100	100	100	50.2	100	0	100	50.2	50.2	0	Métallurgie	0	Métallurgie. Fabrication de produits métalliques. à l'exception des machines et des équipements	1 à 3 salariés
10.4	0.104	1	7	20.2	0.202	20.2	16.2	0.162	0.8	0.008	46.8	8.6	0	0	8.6	0	8.5	8.6	36.2	0	0	0	0	19.1	19.1	19.1	46.8	10.5	8.6	55.3	57.3	65.9	46.8	Fabrication de produits informatiques	0	Fabrication de produits informatiques. électroniques et optiques. d'équipements électriques.  machines et équipements n.c.a.. Réparation et installation de machines et d'équipements	1 à 3 salariés
0	0	1	8	0	0	0		0	0.7	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Industrie automobile	0	Industrie automobile. Fabrication d'autres matériels de transport	1 à 3 salariés
14.3	0.143	1	9	11.3	0.113	11.3	25.3	0.253	1	0.01	0	0	0	0	0	0	0	0	100	71.2	0	0	71.2	0	64.5	0	71.2	64.5	28.8	0	64.5	0	0	Fabrication de meubles	0	"Fabrication de meubles. Autres industries manufacturières. Travail du bois et fabrication d'articles en bois et en liège. à l'exception des meubles ; fabrication d'articles en vannerie et sparterie"	1 à 3 salariés
0	0	1	10	0	0	0		0	0.6	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Production et distribution d'électricité	0	"Production et distribution d'électricité. de gaz. de vapeur et d'air conditionné. Captage. traitement et distribution d'eau. Collecte et traitement des eaux usées. Collecte. traitement et élimination des déchets ; récupération. Dépollution et autres services de gestion des déchets"	1 à 3 salariés
11.5	0.115	1	11	18	0.18	18	379.1	3.791	4.8	0.048	0	0	8.3	0	5.4	0	8.3	0	49.8	14.7	0	0	23	19.7	15	20.1	9.9	14.6	8.3	21.4	37.3	35.7	4.1	Construction	0	Construction de bâtiments. Génie civil. Travaux de construction spécialisés	1 à 3 salariés
9.8	0.098	1	12	17.8	0.178	17.8	37.2	0.372	1.2	0.012	8.6	4.3	6	6	0	0	4.3	0	56.4	8.6	0	0	8.6	43.3	30.4	17.3	0	17.3	18.8	4.3	36	37.5	0	Commerce et réparation d'automobiles	0	Commerce et réparation d'automobiles et de motocycles	1 à 3 salariés
9.1	0.091	1	13	15.1	0.151	15.1	45.2	0.452	0.8	0.008	17.2	14.2	9.7	0	0	0	19.6	10	56.1	14.2	0	0	14.2	24.2	37	5	2.5	14.2	9.7	5	56.3	68.7	51.5	Commerce de gros	0	Commerce de gros. à l'exception des automobiles et des motocycles	1 à 3 salariés
14.2	0.142	1	14	17.3	0.173	17.3	14.3	0.143	1.1	0.011	2.2	2.9	5.9	2.2	6.8	0	5.9	0	47.2	8.2	0	0	8.2	32.5	18.6	19.7	18.3	12.7	17.6	16.3	40.3	47.8	5.4	Commerce de détail	0	Commerce de détail. à l'exception des automobiles et des motocycles	1 à 3 salariés
13.6	0.136	1	15	29.2	0.292	29.2	24	0.24	0.9	0.009	0	0	0	34.2	0	0	0	0	90.9	39.4	0	0	39.4	26	21.4	0	4.6	21.6	0	10.7	23.2	26.2	10.7	Transports	0	Transports terrestres et transport par conduites. par eau. aériens. Entreposage et services auxiliaires des transports. Activités de poste et de courrier	1 à 3 salariés
4.2	0.042	1	16	7.9	0.079	7.9	27.4	0.274	0.9	0.009	24.6	0	2.7	23.8	0	0	0	0	12.9	12.1	24.6	0	12.1	47.7	47.7	23.8	23.8	23.8	23.8	23.8	47.7	60.6	0	Hébergement. Restauration	0	Hébergement. Restauration	1 à 3 salariés
8.4	0.084	1	17	13.8	0.138	13.8	172.6	1.726	2.1	0.021	39.3	43.3	11.6	3.1	10.6	5.9	13.7	5.9	42.8	4.9	20.2	0	4.9	52.7	20.2	7.4	0	21.9	8.6	5.9	7.4	19.3	0	Edition. Production de films cinématographiques	0	"Edition. Production de films cinématographiques. de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale. Programmation et diffusion. Télécommunications. Programmation. conseil et autres activités informatiques. Services d'information"	1 à 3 salariés
9.8	0.098	1	18	10	0.1	10	24.5	0.245	1.1	0.011	0	24.1	0	11.2	12.9	0	27	24	18.1	30.9	0	0	30.9	46.2	34.9	12.9	0	0	12.9	6.8	30.9	85.9	0	Activités des services financiers	0	Activités des services financiers. hors assurance et caisses de retraite. Assurance	1 à 3 salariés
37.8	0.378	1	19	32.6	0.326	32.6	16.7	0.167	2	0.02	7.9	0	3.4	3.4	25.9	3.4	0	4.5	63.9	13	0	0	13	32.9	36.8	19.2	7.3	22.9	7.9	33.3	49.6	48.2	7.9	Activités auxiliaires de services financiers et d'assurance	0	Activités auxiliaires de services financiers et d'assurance	1 à 3 salariés
16.9	0.169	1	20	23.4	0.234	23.4	101.6	1.016	4	0.04	30.8	16.7	4.3	16.9	5.4	7.2	16.2	0	38	33.7	9.8	0	35.2	29.3	26.2	23.5	14.3	22.3	2.1	3.3	64	53.4	24.1	Activités des organisations associatives	0	Activités des organisations associatives	1 à 3 salariés
19	0.19	1	21	20.2	0.202	20.2	100.8	1.008	2.3	0.023	0	12.5	12.5	0	0	0	0	0	33.8	11.3	0	0	11.3	19.9	24	19.9	11.3	12.7	19.9	19.9	21.3	38.6	8.6	Activités immobilières	0	Activités immobilières. Réparation d'ordinateurs et de biens personnels et domestiques. Autres services personnels	1 à 3 salariés
25.2	0.252	1	22	29.7	0.297	29.7	88	0.88	3.2	0.032	7.7	10.9	10.5	7.1	7.7	4	13.9	0	50.3	10.7	0.5	0	10.7	49.3	39.7	13.7	19.4	44.7	10.7	32.2	34.6	50.2	9.7	Activités juridiques et comptables	0	"Activités juridiques et comptables. Activités des sièges sociaux ; conseil de gestion. Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques. Publicité et études de marché. Autres activités spécialisées. scientifiques et techniques. Activités vétérinaires"	1 à 3 salariés
23.3	0.233	1	23	27.5	0.275	26.9	36.6	0.366	2.4	0.024	0.1	11.6	0	0	12.1	3.1	0	0	10.2	2.7	0	0	2.7	19.2	67.8	13.7	1.4	15.7	3.1	12.9	79.6	81.5	0	Activités de location	0	Activités de location et location-bail. Activités liées à l'emploi. Activités des agences de voyage. voyagistes. services de réservation et activités connexes. Enquêtes et sécurité. Services relatifs aux bâtiments et aménagement paysager. Activités administratives et autres activités de soutien aux entreprises	1 à 3 salariés
8.1	0.081	1	24	23.7	0.237	23	279.1	2.791	21.6	0.216	1.6	4.9	3.3	2.9	12.3	0.3	8.4	0	36.8	39.4	1.6	0	39.4	21.6	23.4	22.7	4.3	5.9	5.1	18.4	19.1	43.2	13.4	Activités créatives. artistiques et de spectacle	0	Activités créatives. artistiques et de spectacle. Bibliothèques. archives. musées et autres activités culturelles. Organisation de jeux de hasard et d'argent. Activités sportives. récréatives et de loisirs	1 à 3 salariés
9.5	0.095	1	25	14.7	0.147	14.7	40.5	0.405	1.6	0.016	3.6	0	0	0	13.5	0	14.9	3.6	20	48	0	0	48	32.4	27.3	22.2	5.1	43.5	5.1	28.8	42.1	57	24.6	Agriculture. sylviculture et pêche	0	Culture et production animale. chasse et services annexes. Sylviculture et exploitation forestière. Pêche et aquaculture	1 à 3 salariés
17.1	0.171	1	26	26.2	0.262	22.5	29.9	0.299	1.6	0.016	0	4.6	0	1.8	0	0	6.2	0	29.5	44.1	0	0	44.1	19.3	44.3	26.2	0	47.4	0	17.2	45	39	18.9	Enseignement	0	Enseignement	1 à 3 salariés
