tx_acc1	taux_acces	taille_equi	secteur_equi	tx_form	part_form	tx_courses	heurstag	h_stag	tx_tpf	TPF	tx_c5a	tx_c5b	tx_c5c	tx_c5d	tx_c5e	tx_c5f	tx_c5g	tx_c5h	tx_c5i	tx_c5autr	tx_c5j	tx_c5k	tx_c5l	tx_d3a	tx_d3b	tx_d3c	tx_d3d	tx_d3e	tx_d3f	tx_d3g	tx_d3h	tx_d3i	tx_d3autr	secteur	secteur_ensemble	Info_secteur	taille
9.8	0.098	2	9	41.3	0.413	41.3	279.9	2.799	3.6	0.036	0	0	0	0	0	0	0	0	90.3	0	0	0	0	0	19.5	9.7	0	0	0	0	0	0	0	Fabrication de meubles	0	"Fabrication de meubles. Autres industries manufacturières. Travail du bois et fabrication d'articles en bois et en liège. à l'exception des meubles ; fabrication d'articles en vannerie et sparterie"	4 à 9 salariés
22.2	0.222	2	10	44.8	0.448	44.8	15.6	0.156	0.8	0.008	0	0	0	0	0	0	0	0	100	0	0	0	0	37.1	0	62.9	0	0	0	0	100	37.1	0	Production et distribution d'électricité	0	"Production et distribution d'électricité. de gaz. de vapeur et d'air conditionné. Captage. traitement et distribution d'eau. Collecte et traitement des eaux usées. Collecte. traitement et élimination des déchets ; récupération. Dépollution et autres services de gestion des déchets"	4 à 9 salariés
15.8	0.158	2	11	32	0.32	28.5	25.9	0.259	1	0.01	10.3	4.1	0	12.9	0	0	19.8	0	72.6	28.2	0	0	28.2	39.3	28.6	24.9	10	20.9	25.1	7.7	53.7	36.2	0	Construction	0	Construction de bâtiments. Génie civil. Travaux de construction spécialisés	4 à 9 salariés
11.9	0.119	2	12	31.5	0.315	31.5	58.5	0.585	1.3	0.013	0	0	0	0	0	0	12.9	0	73.1	6.9	0	0	6.9	26.9	19.8	12.9	0	19.8	6.5	0	39.4	59.9	7.1	Commerce et réparation d'automobiles	0	Commerce et réparation d'automobiles et de motocycles	4 à 9 salariés
11.3	0.113	2	13	38.4	0.384	35.8	198.9	1.989	8.2	0.082	6.9	25.7	1.3	0	36.6	0	0	1.3	27.4	35.2	0	0	35.2	25.2	25.8	18	4.4	37.1	18.4	8.8	18.8	48.3	12.8	Commerce de gros	0	Commerce de gros. à l'exception des automobiles et des motocycles	4 à 9 salariés
15.1	0.151	2	14	26.8	0.268	24.9	194.6	1.946	4.2	0.042	3.8	4.9	2.8	10.2	34.9	0	0	3.8	59.3	5.7	0	0	5.7	42.2	43.3	14.8	8.8	33.1	30.5	23.8	26.9	45.5	2.6	Commerce de détail	0	Commerce de détail. à l'exception des automobiles et des motocycles	4 à 9 salariés
18.3	0.183	2	15	48.8	0.488	45.7	23.3	0.233	1.2	0.012	0	0	0	0	0	0	0.6	0	44.4	42.7	6.7	0	42.7	50	62.6	18.4	22.1	46.3	6.3	38	58.9	58.9	22.1	Transports	0	Transports terrestres et transport par conduites. par eau. aériens. Entreposage et services auxiliaires des transports. Activités de poste et de courrier	4 à 9 salariés
9.9	0.099	2	16	26.9	0.269	19.6	63	0.63	1.8	0.018	30	0	32.5	15.5	1.6	0	15.4	0	38.7	46.7	0	0	46.7	11.9	22.2	0.3	0.3	22.9	11.3	11.6	11.6	36.8	0	Hébergement. Restauration	0	Hébergement. Restauration	4 à 9 salariés
15.3	0.153	2	17	48	0.48	34.8	112.2	1.122	1.7	0.017	12.9	37.5	18.9	10.4	10.8	0	5.2	0	32.4	6.7	3.3	0	6.7	25.6	20.2	12.1	22	17.9	8	21.2	44.8	30.3	0	Edition. Production de films cinématographiques	0	"Edition. Production de films cinématographiques. de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale. Programmation et diffusion. Télécommunications. Programmation. conseil et autres activités informatiques. Services d'information"	4 à 9 salariés
21	0.21	2	18	23.9	0.239	23.9	13.5	0.135	1.1	0.011	4.3	6	13.7	0	0	12.9	7.7	0	60.9	24.7	0	0	24.7	51.8	21.8	22.6	14.7	15.8	0	0	40	37.9	12.9	Activités des services financiers	0	Activités des services financiers. hors assurance et caisses de retraite. Assurance	4 à 9 salariés
46.3	0.463	2	19	65.2	0.652	65.2	35.5	0.355	3.3	0.033	10.2	5.1	5.1	0	35.7	5.1	5.1	0	89.6	5.1	0	0	5.1	69.2	59	28.3	33.4	33.4	5.1	43.6	48.8	35.7	0	Activités auxiliaires de services financiers et d'assurance	0	Activités auxiliaires de services financiers et d'assurance	4 à 9 salariés
20.3	0.203	2	20	56.3	0.563	52	129.6	1.296	5.8	0.058	4.4	11.3	8.1	7	0	3.8	15.4	0	20.6	36.4	14.3	0.6	39.7	26.7	36	7.3	19.3	27.6	1.8	30.2	31.3	57.4	5.3	Activités des organisations associatives	0	Activités des organisations associatives	4 à 9 salariés
30.3	0.303	2	21	21.8	0.218	16.1	11.4	0.114	1.4	0.014	0	5.4	2.3	0	0	0	0	2.7	92	2.7	0	0	2.7	39.5	32.1	2	28.2	33.8	4	4	30.2	60.8	28.2	Activités immobilières	0	Activités immobilières. Réparation d'ordinateurs et de biens personnels et domestiques. Autres services personnels	4 à 9 salariés
32.6	0.326	2	22	50.8	0.508	48.7	50.6	0.506	1.9	0.019	8.5	7.7	7.3	4.3	2.1	1.1	25.6	4.3	53.8	12.5	0	0	15.3	25.5	45.5	22.5	6.2	32.7	12.2	23.4	33.3	55.9	5.1	Activités juridiques et comptables	0	"Activités juridiques et comptables. Activités des sièges sociaux ; conseil de gestion. Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques. Publicité et études de marché. Autres activités spécialisées. scientifiques et techniques. Activités vétérinaires"	4 à 9 salariés
79.8	0.798	2	23	40.5	0.405	39.7	11.8	0.118	1.7	0.017	0	3.5	23.7	5.9	1.8	0	10.5	1.6	79.3	41.4	0	0	41.4	37.3	68.1	41.8	21.9	24.8	13.4	27.5	40.9	41.6	19.8	Activités de location	0	Activités de location et location-bail. Activités liées à l'emploi. Activités des agences de voyage. voyagistes. services de réservation et activités connexes. Enquêtes et sécurité. Services relatifs aux bâtiments et aménagement paysager. Activités administratives et autres activités de soutien aux entreprises	4 à 9 salariés
13.6	0.136	2	24	42.7	0.427	40	84.2	0.842	3.2	0.032	3.4	11.6	4.4	8.2	3.4	3.4	17.9	0	31.2	16.8	0	0	16.8	35	35	6.1	17.5	33.1	6.4	25.4	34	43.6	7.7	Activités créatives. artistiques et de spectacle	0	Activités créatives. artistiques et de spectacle. Bibliothèques. archives. musées et autres activités culturelles. Organisation de jeux de hasard et d'argent. Activités sportives. récréatives et de loisirs	4 à 9 salariés
8.5	0.085	2	25	36.9	0.369	27.5	46.3	0.463	1.1	0.011	0	0	17.1	17.1	0	12.2	0	0	36.5	46.4	0	0	46.4	25.5	25.5	12.7	47.3	25.5	9.1	0	65.4	56.4	25.5	Agriculture. sylviculture et pêche	0	Culture et production animale. chasse et services annexes. Sylviculture et exploitation forestière. Pêche et aquaculture	4 à 9 salariés
28.9	0.289	2	26	67.7	0.677	65.5	13.8	0.138	1.4	0.014	0	0	1.3	0	0	0	19.2	19.2	86.1	6.5	0	0	6.5	20.4	11.3	21.2	7.3	13.6	1.4	7.3	14.1	49.5	0	Enseignement	0	Enseignement	4 à 9 salariés
41.8	0.418	2	27	37	0.37	37	21.5	0.215	1	0.01	0.8	0	24.5	14.5	0	6.2	14.8	3.1	53.9	28.1	6.7	0	28.1	47	60.5	21.6	6.8	56.6	14.2	13.5	65.2	75.9	3.5	Administration publique et santé	0	"Administration publique et défense ; sécurité sociale obligatoire. Activités pour la santé humaine. Hébergement médico-social et social. Action sociale sans hébergement"	4 à 9 salariés
22.2	0.222	3	0	61.3	0.613	53.6	34.2	0.342	2	0.02	5.4	6.7	13	8.8	11.2	3.9	11.4	3.2	58.3	22.7	2.1	0.4	24	34.5	35.6	21.3	14.2	26.5	13.4	16.8	42.5	59.9	7.9	Ensemble	1	Ensemble	10 à 19 salariés
32.4	0.324	3	1	75.9	0.759	69.8	17.6	0.176	1.4	0.014	0	0	0	0	4.3	0	0	0	76.4	38.9	0	0	38.9	53.1	28.5	11.9	8	19.9	4	8	28.5	49.7	0	Industries extractives	0	Extraction de houille et de lignite. Extraction d'hydrocarbures. Extraction de minerais métalliques. Autres industries extractives. Services de soutien aux industries extractives	10 à 19 salariés
16.7	0.167	3	2	43.2	0.432	39.5	30	0.3	1.4	0.014	2.9	1.8	14.8	5.2	5.4	1.8	2.6	1	59.2	22.2	0	0	22.2	47.4	43.6	38.8	13.5	30.6	28.3	29.2	46.4	60.2	5.3	Industries alimentaire	0	Industries alimentaires. Fabrications de boissons. Fabrication de produits à base de tabac	10 à 19 salariés
19	0.19	3	3	57.1	0.571	53.6	35	0.35	1.2	0.012	0	0	18.7	2.1	18.5	0	12.1	6.9	41.1	28.9	0	3.7	28.9	26.6	24	30.1	44.1	31.9	3.4	19.6	48.9	47.1	11.9	Fabrication de textiles	0	Fabrication de textiles. Industrie de l'habillement. Industrie du cuir et de la chaussure	10 à 19 salariés
10.5	0.105	3	4	53.2	0.532	37.8	50.5	0.505	1.5	0.015	4	8.3	4.3	2.4	13.8	11.6	11.9	0	74.6	10.7	0	0	10.7	30.6	37.4	35.9	21.1	35	14.1	21.5	46.7	65.8	6.5	Industrie du papier et du carton	0	Industrie du papier et du carton.  Imprimerie et reproduction d'enregistrements	10 à 19 salariés
58.7	0.587	3	5	73.9	0.739	65.2	16.3	0.163	1.8	0.018	0	2.4	9.4	4.9	2.1	5.6	7.5	2.4	62	40.6	0	0	40.6	35.7	32.9	29	33.9	31.3	7.2	10.5	50.2	53.6	4.2	Cockefaction et raffinage	0	Cockefaction et raffinage. Industrie chimique et pharmaceutique. Fabrication de produits en caoutchouc et en plastique. Fabrication d'autres produits minéraux non métalliques	10 à 19 salariés
20.7	0.207	3	6	61.4	0.614	59.2	24.9	0.249	1.4	0.014	4.8	8.9	9.7	8	3.7	2.1	12.8	0	66.7	23.6	0	0	23.6	33	34	22.6	33.5	28	16.6	30.7	46.6	53.7	8.6	Métallurgie	0	Métallurgie. Fabrication de produits métalliques. à l'exception des machines et des équipements	10 à 19 salariés
21.3	0.213	3	7	77.2	0.772	60.5	29.9	0.299	1.6	0.016	2.1	2.9	13.6	5	0.3	4.1	17.8	2.1	74.2	23.5	0	0	23.5	39.7	36.2	28	26.9	33.7	12.5	11.3	45.3	57.4	1.9	Fabrication de produits informatiques	0	Fabrication de produits informatiques. électroniques et optiques. d'équipements électriques.  machines et équipements n.c.a.. Réparation et installation de machines et d'équipements	10 à 19 salariés
23.2	0.232	3	8	72.3	0.723	68.8	34.5	0.345	1.9	0.019	5.3	0	9.9	7.6	10.3	2.5	15	5.4	55.7	29.2	2.5	0	29.2	37	24.6	26.5	23.7	26.3	19.4	14.1	36.5	56.1	4.7	Industrie automobile	0	Industrie automobile. Fabrication d'autres matériels de transport	10 à 19 salariés
12.1	0.121	3	9	50.3	0.503	39.6	33.5	0.335	1.4	0.014	10.3	3.8	13.7	3.8	5.6	0	3.8	0	45.9	22.4	4.7	0	22.4	33.6	36.8	32.8	16.5	30.1	18.4	33.2	36.6	49.5	8.6	Fabrication de meubles	0	"Fabrication de meubles. Autres industries manufacturières. Travail du bois et fabrication d'articles en bois et en liège. à l'exception des meubles ; fabrication d'articles en vannerie et sparterie"	10 à 19 salariés
34.5	0.345	3	10	71.3	0.713	65.6	32.9	0.329	2	0.02	2.8	5.8	10.9	5.8	0	4.3	13.8	0	81.7	15.1	3	5.3	17.6	40.6	28.8	11.9	19.7	19.7	0	18.1	21.1	54	8.3	Production et distribution d'électricité	0	"Production et distribution d'électricité. de gaz. de vapeur et d'air conditionné. Captage. traitement et distribution d'eau. Collecte et traitement des eaux usées. Collecte. traitement et élimination des déchets ; récupération. Dépollution et autres services de gestion des déchets"	10 à 19 salariés
17.3	0.173	3	11	56.3	0.563	49.3	41.3	0.413	2.1	0.021	4.7	2.6	6	9.5	3.7	2.1	14.7	0.4	60.5	21.7	0.4	0.4	23.6	33.7	33.5	21.9	10.5	26.1	19	17.1	50	52.8	8.2	Construction	0	Construction de bâtiments. Génie civil. Travaux de construction spécialisés	10 à 19 salariés
19.9	0.199	3	12	74.6	0.746	68	29.2	0.292	1.6	0.016	6.3	5.2	4.6	4.2	20.1	5.4	3.4	3.3	72.1	8.4	4.6	0	13.7	35.1	25.9	13.1	8.3	29.2	18.1	19.1	35.6	61.1	11.5	Commerce et réparation d'automobiles	0	Commerce et réparation d'automobiles et de motocycles	10 à 19 salariés
19.6	0.196	3	13	62.2	0.622	55.5	32.8	0.328	1.6	0.016	12.2	10.7	8.9	3.5	21.3	4.1	11.2	10	45.6	28.1	2.3	0	28.7	37.7	43.8	29.3	20.2	28.3	18.1	22.4	40.2	61.2	10.1	Commerce de gros	0	Commerce de gros. à l'exception des automobiles et des motocycles	10 à 19 salariés
19.7	0.197	3	14	57	0.57	46.7	27.3	0.273	1.6	0.016	2.6	4.6	15.4	9.3	32.8	1.1	8.8	1.6	43.8	27.5	1.9	0	28.8	35.8	29.3	24.3	10.5	22.2	15.9	16.7	42.4	60.2	6.4	Commerce de détail	0	Commerce de détail. à l'exception des automobiles et des motocycles	10 à 19 salariés
24.7	0.247	3	15	67.5	0.675	62.5	36	0.36	1.9	0.019	2.6	0	8.8	5.5	4.4	3.2	8.9	1.3	69.9	23.3	0	0.9	24.2	40.7	41.6	15.1	17.1	26.9	3	14.1	36.8	51.5	7.4	Transports	0	Transports terrestres et transport par conduites. par eau. aériens. Entreposage et services auxiliaires des transports. Activités de poste et de courrier	10 à 19 salariés
11.5	0.115	3	16	44.1	0.441	31	38.4	0.384	3.1	0.031	0.6	0.3	32	16.8	11.6	4.9	9.9	9.1	51.9	30.8	2.2	0	30.8	27.7	33.3	22.4	17.8	24.2	18.3	9.6	43.9	77.4	9.3	Hébergement. Restauration	0	Hébergement. Restauration	10 à 19 salariés
17.5	0.175	3	17	63.4	0.634	51.4	41.5	0.415	1.4	0.014	20.6	32.4	16.4	6.7	12.9	5.9	9	11.5	37.7	15.2	1.4	1.4	15.2	41.4	51.1	27.3	16.8	26.5	14.2	17.3	42.1	54.3	14.2	Edition. Production de films cinématographiques	0	"Edition. Production de films cinématographiques. de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale. Programmation et diffusion. Télécommunications. Programmation. conseil et autres activités informatiques. Services d'information"	10 à 19 salariés
39.8	0.398	3	18	64	0.64	63.1	42.4	0.424	2.4	0.024	4.7	2.5	24.3	13.5	33.3	4.5	16	12.8	36.1	14.6	0	0	16.2	25.3	16.8	6.8	9.6	18.2	10.5	10.9	28.8	62.1	10.5	Activités des services financiers	0	Activités des services financiers. hors assurance et caisses de retraite. Assurance	10 à 19 salariés
47.4	0.474	3	19	78.3	0.783	73.5	29.9	0.299	3.2	0.032	7.9	8.2	9	8.2	20.7	6.6	9.2	0	67.5	11.8	1.6	0	11.8	35.6	25	18.8	7.1	14.1	7.1	14.5	25.1	50.1	1.5	Activités auxiliaires de services financiers et d'assurance	0	Activités auxiliaires de services financiers et d'assurance	10 à 19 salariés
29.4	0.294	3	20	69.1	0.691	57.2	26.9	0.269	2.2	0.022	9.8	10.5	20.4	15.2	5.1	8.7	17.9	2.8	57.9	28.1	8.4	0	31.3	29.6	39.2	13.6	10.7	23.4	5.2	20.2	49.1	66	12.8	Activités des organisations associatives	0	Activités des organisations associatives	10 à 19 salariés
24.7	0.247	3	21	58.6	0.586	57.4	29.6	0.296	1.9	0.019	2.1	8.3	10.8	12	22.7	3.9	16	0	55.8	14.7	2.1	2.6	18.9	42	30.5	11.9	9.7	26.6	14.4	24.7	26.5	49.6	12.3	Activités immobilières	0	Activités immobilières. Réparation d'ordinateurs et de biens personnels et domestiques. Autres services personnels	10 à 19 salariés
33.3	0.333	3	22	73.1	0.731	68	32.2	0.322	1.7	0.017	5.5	10.6	13.7	5.3	6	3.7	7.8	3.4	70.9	12.3	3.1	0	13.5	36.3	42	18.4	11.1	27.3	9.6	16.1	44.6	55.1	3.2	Activités juridiques et comptables	0	"Activités juridiques et comptables. Activités des sièges sociaux ; conseil de gestion. Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques. Publicité et études de marché. Autres activités spécialisées. scientifiques et techniques. Activités vétérinaires"	10 à 19 salariés
17.4	0.174	3	23	66.3	0.663	55.5	35	0.35	1.9	0.019	7.3	5.5	11.6	4.2	17.3	5.4	8.4	4.2	51.4	24.4	2.5	0	26.9	33.5	36.6	26	14.6	28.6	9.3	11	40.9	61.9	15.5	Activités de location	0	Activités de location et location-bail. Activités liées à l'emploi. Activités des agences de voyage. voyagistes. services de réservation et activités connexes. Enquêtes et sécurité. Services relatifs aux bâtiments et aménagement paysager. Activités administratives et autres activités de soutien aux entreprises	10 à 19 salariés
27.5	0.275	3	24	62.3	0.623	57.4	50.9	0.509	5.1	0.051	7.2	6.8	16.8	7.5	3.3	3.3	18.1	0	58	26.5	3.7	0.6	27.7	29.1	31.9	22.9	10	28.1	7.3	14.9	37.2	62.2	2.9	Activités créatives. artistiques et de spectacle	0	Activités créatives. artistiques et de spectacle. Bibliothèques. archives. musées et autres activités culturelles. Organisation de jeux de hasard et d'argent. Activités sportives. récréatives et de loisirs	10 à 19 salariés
21.2	0.212	3	25	48	0.48	44.5	16.7	0.167	1.2	0.012	5.8	4.4	5.3	8	1.8	0	11.6	1.7	46.1	48.2	0	1.3	53.8	33.2	35.9	27.1	25.1	20	8.9	12	38.3	57.4	3.4	Agriculture. sylviculture et pêche	0	Culture et production animale. chasse et services annexes. Sylviculture et exploitation forestière. Pêche et aquaculture	10 à 19 salariés
31.9	0.319	3	26	65.1	0.651	58.6	20.1	0.201	2	0.02	7	19	8.8	17.6	10.3	3.1	28.8	0.7	47	26	0	0	26	35.8	39.4	20.1	16.7	31.6	8.8	20.2	45.2	71	5	Enseignement	0	Enseignement	10 à 19 salariés
26.9	0.269	3	27	74.8	0.748	68.8	48.3	0.483	2.7	0.027	2.6	4.7	14.7	17.5	0	7.3	11.4	0.3	68.7	29	5.3	1.8	29.3	26.1	32	11.7	6.9	25.7	9.8	14.9	45.4	71.6	6.4	Administration publique et santé	0	"Administration publique et défense ; sécurité sociale obligatoire. Activités pour la santé humaine. Hébergement médico-social et social. Action sociale sans hébergement"	10 à 19 salariés
27.4	0.274	4	0	78.9	0.789	72	30	0.3	2	0.02	5.7	7.2	21	11	11.6	5.2	11.6	5.2	61.4	23.9	2.6	1	25.3	32.9	34.1	18.5	13.7	27.6	13.3	18.1	40.9	62.6	7.3	Ensemble	1	Ensemble	20 à 49 salariés
32.1	0.321	4	1	82.5	0.825	78.6	23.1	0.231	2.1	0.021	5	5	5	5.8	5.8	5	5.8	0	78.5	25.6	0	5.8	25.6	25.2	14.2	4.7	10.2	15	0	4.7	15	48.8	0	Industries extractives	0	Extraction de houille et de lignite. Extraction d'hydrocarbures. Extraction de minerais métalliques. Autres industries extractives. Services de soutien aux industries extractives	20 à 49 salariés
34.3	0.343	4	2	71.3	0.713	66.1	22	0.22	2.3	0.023	2.7	5.6	24.4	12.3	10.9	4.1	16.5	4.6	54.2	32.1	1.4	0	32.1	27.2	21	21.3	15.9	27.1	12.6	21.9	53.5	62	5.4	Industries alimentaire	0	Industries alimentaires. Fabrications de boissons. Fabrication de produits à base de tabac	20 à 49 salariés
24.6	0.246	4	3	78.8	0.788	68.9	31.1	0.311	1.9	0.019	0	20.8	17.2	8.3	0	4.2	0	4.2	52.8	31.9	0	0	36.1	19.1	15.5	26.9	19.1	19.1	7.8	18.7	42.9	61.9	10.5	Fabrication de textiles	0	Fabrication de textiles. Industrie de l'habillement. Industrie du cuir et de la chaussure	20 à 49 salariés
21	0.21	4	4	75.5	0.755	67.7	27.6	0.276	1.7	0.017	7	3.4	24.1	0	13	6.3	26.4	10.4	60.2	28.1	0	0	31.7	44.6	26.6	30.1	26.2	43.4	10.8	15.6	51.2	69.4	3.8	Industrie du papier et du carton	0	Industrie du papier et du carton.  Imprimerie et reproduction d'enregistrements	20 à 49 salariés
35.2	0.352	4	5	90.6	0.906	85.6	17.5	0.175	1.9	0.019	2.9	0	17.7	5.9	9	5.9	17.7	6.4	61.3	40.4	0	0	40.4	30.5	34.3	15.2	22.8	29.7	8.3	19.3	53.1	65.9	0	Cockefaction et raffinage	0	Cockefaction et raffinage. Industrie chimique et pharmaceutique. Fabrication de produits en caoutchouc et en plastique. Fabrication d'autres produits minéraux non métalliques	20 à 49 salariés
31.7	0.317	4	6	84.9	0.849	80.5	27.3	0.273	2	0.02	5.4	0	8.8	9.1	7.1	5.7	12.2	2	72.7	26.8	0	0	26.8	29.8	25.3	22.4	15.1	31.7	8.6	16.5	39.6	59.8	10.5	Métallurgie	0	Métallurgie. Fabrication de produits métalliques. à l'exception des machines et des équipements	20 à 49 salariés
35.8	0.358	4	7	91.4	0.914	81.5	27.5	0.275	2.2	0.022	6.5	5.1	13.7	2.1	8.2	0	25.1	8.5	69.4	22	0	0	25.5	34.2	34	21.7	24.2	26.9	12	23.6	41.9	57.9	17.4	Fabrication de produits informatiques	0	Fabrication de produits informatiques. électroniques et optiques. d'équipements électriques.  machines et équipements n.c.a.. Réparation et installation de machines et d'équipements	20 à 49 salariés
20	0.2	4	8	84.2	0.842	69.7	21.9	0.219	1.7	0.017	6	3	9.1	12.4	3	6.3	4.9	9.1	69.9	23.7	0	0	23.7	33	37.3	25.1	18.3	34.5	18.3	18.5	49	60.2	16.3	Industrie automobile	0	Industrie automobile. Fabrication d'autres matériels de transport	20 à 49 salariés
19.9	0.199	4	9	63.2	0.632	60.6	55.7	0.557	2	0.02	0	0	29.1	7.5	3.3	0	18.5	0	55.7	64.3	0	4.3	64.3	29	42.2	20.9	47.3	38	8.2	6.3	53.9	55.2	4.1	Fabrication de meubles	0	"Fabrication de meubles. Autres industries manufacturières. Travail du bois et fabrication d'articles en bois et en liège. à l'exception des meubles ; fabrication d'articles en vannerie et sparterie"	20 à 49 salariés
43.9	0.439	4	10	94	0.94	85.8	21	0.21	2.2	0.022	8.2	2	9	5.3	0	0	4	3.1	86.8	33.1	0	7.6	33.1	23.2	15	23.4	17.3	22.9	9.6	17.8	32.2	67.5	5	Production et distribution d'électricité	0	"Production et distribution d'électricité. de gaz. de vapeur et d'air conditionné. Captage. traitement et distribution d'eau. Collecte et traitement des eaux usées. Collecte. traitement et élimination des déchets ; récupération. Dépollution et autres services de gestion des déchets"	20 à 49 salariés
25.6	0.256	4	11	71.9	0.719	66.2	23.7	0.237	1.6	0.016	0.7	5.2	10.6	9.3	8.1	3.9	14.6	0.7	68.9	27.5	0	0.6	30.1	30.9	32.2	20.8	13.4	28.6	26.5	17.7	38	52.3	8	Construction	0	Construction de bâtiments. Génie civil. Travaux de construction spécialisés	20 à 49 salariés
33.7	0.337	4	12	89.4	0.894	84.6	20.6	0.206	2.2	0.022	4.5	6	12.8	2.9	55.1	1.4	2.4	2.4	84.2	12.9	1.5	0	20.3	26.6	26.3	19.2	6.6	20.5	26.2	14.6	20.9	58.8	2.6	Commerce et réparation d'automobiles	0	Commerce et réparation d'automobiles et de motocycles	20 à 49 salariés
22.7	0.227	4	13	77	0.77	73.3	28.6	0.286	1.6	0.016	8.8	9.6	14.2	4	23.9	3.6	10.3	13.1	54.2	22.4	0.8	0.5	23.6	41.8	35.1	17.5	11.3	21.6	13.9	20.3	38.8	66.5	7.7	Commerce de gros	0	Commerce de gros. à l'exception des automobiles et des motocycles	20 à 49 salariés
21.3	0.213	4	14	68.3	0.683	58.5	29.7	0.297	1.6	0.016	5.8	2.3	33.5	17.8	45.7	4.4	8.5	0	49.7	13.9	0.7	0.7	13.9	29.3	32	23.3	9.1	32.2	19.5	19.7	43.7	63.4	4.8	Commerce de détail	0	Commerce de détail. à l'exception des automobiles et des motocycles	20 à 49 salariés
18.5	0.185	4	15	85.3	0.853	79.5	35.7	0.357	1.8	0.018	1.6	1.8	9.3	4.9	2	4.8	6.7	2	69.7	25.5	0.8	0	27.8	40.2	37.7	18	9.3	23.9	4.8	15.2	47.5	48.7	5.9	Transports	0	Transports terrestres et transport par conduites. par eau. aériens. Entreposage et services auxiliaires des transports. Activités de poste et de courrier	20 à 49 salariés
17.5	0.175	4	16	67.6	0.676	59.8	32.4	0.324	1.3	0.013	0	0	59.4	24	13.8	11.2	2.9	2.8	35.6	28	7.7	0	28	31.3	25.5	15.6	11.2	25.9	13.4	13.9	32.3	71.3	8	Hébergement. Restauration	0	Hébergement. Restauration	20 à 49 salariés
22.4	0.224	4	17	77.2	0.772	68.4	26.5	0.265	1.6	0.016	17.7	38.8	26.6	11	16.1	6.4	2.5	8.4	39.7	15	4.5	0.6	15	32.5	53.5	25.3	23.3	48	18.6	18	50.7	63.3	4.2	Edition. Production de films cinématographiques	0	"Edition. Production de films cinématographiques. de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale. Programmation et diffusion. Télécommunications. Programmation. conseil et autres activités informatiques. Services d'information"	20 à 49 salariés
38	0.38	4	18	74.2	0.742	66.4	29	0.29	2.2	0.022	9.2	8.3	33.7	5.4	7.3	9.9	23.4	11.2	69	19.8	4.3	0	22	29.7	38.5	15.4	16.7	29.1	13	12.4	53.7	77.1	10.8	Activités des services financiers	0	Activités des services financiers. hors assurance et caisses de retraite. Assurance	20 à 49 salariés
39.2	0.392	4	19	89.9	0.899	85.2	38.1	0.381	2.5	0.025	2.5	0	13.4	3.6	21	3.6	34.1	7.2	79.3	23.2	10.8	0	23.2	17.2	26.7	10.3	3.4	21.5	6.8	14.6	27.5	47.1	3.4	Activités auxiliaires de services financiers et d'assurance	0	Activités auxiliaires de services financiers et d'assurance	20 à 49 salariés
34.5	0.345	4	20	88	0.88	77.2	38.4	0.384	-0.8	-0.008	12.6	9.4	11.6	9.8	2.2	10.8	17.8	9.2	61.6	24.8	5.7	8.7	26	37.1	38	20.8	19.9	31.8	5.3	32.3	51.5	75.1	4.3	Activités des organisations associatives	0	Activités des organisations associatives	20 à 49 salariés
44.9	0.449	4	21	89.9	0.899	85	12.8	0.128	1.8	0.018	6.7	12.8	33.5	17.2	12.4	6.7	14.7	5.7	48.5	10.7	1.4	0	10.7	28	35.1	25.6	26.3	45.7	21.7	17.2	50.7	74.6	15.6	Activités immobilières	0	Activités immobilières. Réparation d'ordinateurs et de biens personnels et domestiques. Autres services personnels	20 à 49 salariés
37.6	0.376	4	22	88.7	0.887	81.9	32.4	0.324	2.8	0.028	14.4	12.2	16.4	6.8	10.2	4.3	7.8	11.4	70.8	17.1	1.3	0.6	19.4	33.9	41.9	16.8	12.1	21.6	14.5	20.7	34.6	57	6.1	Activités juridiques et comptables	0	"Activités juridiques et comptables. Activités des sièges sociaux ; conseil de gestion. Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques. Publicité et études de marché. Autres activités spécialisées. scientifiques et techniques. Activités vétérinaires"	20 à 49 salariés
20.3	0.203	4	23	76.9	0.769	69.3	37.8	0.378	2.2	0.022	1.7	7.6	21.7	18.9	4.8	2	5.8	8.7	59.2	22	1.9	2.4	23.3	26.1	23	9.2	11	15.7	7.3	8.5	23.9	50	7.1	Activités de location	0	Activités de location et location-bail. Activités liées à l'emploi. Activités des agences de voyage. voyagistes. services de réservation et activités connexes. Enquêtes et sécurité. Services relatifs aux bâtiments et aménagement paysager. Activités administratives et autres activités de soutien aux entreprises	20 à 49 salariés
28.9	0.289	4	24	77	0.77	69.6	59.5	0.595	3.1	0.031	8.6	8.6	23.6	17.7	9.8	1.4	20.5	8.3	45.5	18.5	5.9	4.6	22.1	34.1	38.9	21.4	12	31.3	20.3	20.5	32.8	64.2	5.9	Activités créatives. artistiques et de spectacle	0	Activités créatives. artistiques et de spectacle. Bibliothèques. archives. musées et autres activités culturelles. Organisation de jeux de hasard et d'argent. Activités sportives. récréatives et de loisirs	20 à 49 salariés
